,text,timestamp_ms
0,rt uptopculture got women room laughing girl lookin stank face,2019-01-02 06:38:00.000
1,rt stoned2thabones “ aye come outside bouta smoke ”,2019-01-02 06:38:00.000
2,arianagrande jonescrow alfredoflores ily,2019-01-02 06:38:00.000
3,rt jiminsiy ’ rly happening,2019-01-02 06:38:00.000
4,rt marianayrobles 2018 tested loyalty amp many ’ folded,2019-01-02 06:38:00.000
5,could funny except ’ really,2019-01-02 06:38:00.000
6,rt mikel_jollett see ’ going pretend learned nothing 2016 fact smart woman super threatening to…,2019-01-02 06:38:00.000
7,assuming message probably never experienced ownership diesel powered car even start c…,2019-01-02 06:38:00.000
8,omg ot12 heart miss two goofballs,2019-01-02 06:38:00.000
9,rt inquirerdotnet kisses delavin ’ parents gilbert carrie proved indeed “ forever ” marked 25th wedding annive…,2019-01-02 06:38:00.000
10,drunk lowkey takes cute selfies yes ’ toy story curtain,2019-01-02 06:38:00.000
11,im going closeted k*vin stan might well ult,2019-01-02 06:38:01.000
12,raywilliamjohnsonisoverparty unblock hooverr 's video stop blocking quackity gt,2019-01-02 06:38:01.000
13,rt candyscribbles happy maichard keep smiling aldenrichards02 mainedcm ️ aldenrichardsat27,2019-01-02 06:38:01.000
14,rt qaisisaleem refugees please look iraqi refugees turkey save future children fled death ask you…,2019-01-02 06:38:01.000
15,rt archillect,2019-01-02 06:38:01.000
16,lordandguard slowly looks 4th wall – really went,2019-01-02 06:38:01.000
17,rt lovelyhyunjinn thank later,2019-01-02 06:38:01.000
18,rt ghiowing next boo gettin idc idc idc,2019-01-02 06:38:01.000
19,rt ghiowing next boo gettin idc idc idc,2019-01-02 06:38:01.000
20,rt nobisha ’ get upset angry small things keep cool expect unexpected ’ life,2019-01-02 06:38:02.000
21,rt bleacherreport ben simmons inbounds play,2019-01-02 06:38:02.000
22,rt cantstopulovinm modigovt landmark year delhi hc 34yrs mass killing sikhs riots swept country congress l…,2019-01-02 06:38:02.000
23,rt alovelyliii lol ok ’ done trying next,2019-01-02 06:38:02.000
24,rt ultchanyeolpark happiness happiness,2019-01-02 06:38:02.000
25,rt ultchanyeolpark happiness happiness,2019-01-02 06:38:02.000
26,rt gcfvk ’ beautiful cutest baby ’ ever seen,2019-01-02 06:38:03.000
27,rt _lizl0 lmaooooo yeooooo whole video pocket .. wait till end,2019-01-02 06:38:03.000
28,start fw someone everyone got story tell,2019-01-02 06:38:03.000
29,rt trapmoneyzenny bitches talking bout ayesha curry baby 3 times ... uhhhhhh yeah bitch ’ happens one…,2019-01-02 06:38:03.000
30,finally_loud lol twitter aint never poppin like,2019-01-02 06:38:03.000
31,2018 taught girls ’ shit,2019-01-02 06:38:03.000
32,south korea ban disposable plastic bags supermarkets 2019 report via channelnewsasia,2019-01-02 06:38:03.000
33,well interesting ...,2019-01-02 06:38:03.000
34,rt _sexualgrande thedailybeast names sweetener best album 2018,2019-01-02 06:38:04.000
35,rt flowershellbomb retweet 10 seconds good luck 2019,2019-01-02 06:38:04.000
36,rt oh_mes bae jinyoung received several offers appear dramas expected focus singer plans fo…,2019-01-02 06:38:04.000
37,feel reality phone u piece shit..,2019-01-02 06:38:05.000
38,rt caliadomenico absolutely beautiful video created using still images taken cassini spacecraft flyby jupiter wh…,2019-01-02 06:38:05.000
39,rt richy70009078 freckle hoon,2019-01-02 06:38:05.000
40,rt mustafaaliwwe battle air idol becoming rival reymysterio sdlive,2019-01-02 06:38:05.000
41,rt _lizl0 lmaooooo yeooooo whole video pocket .. wait till end,2019-01-02 06:38:03.000
42,rt kvngspice morgan freeman reviewing 2018 best thing seen today,2019-01-02 06:38:05.000
43,speaksinhand like huh someone must screwed hard wind bitter old man yeah…,2019-01-02 06:38:05.000
44,rt buttgrabbing unpopular opinion respect kanye takes lot guts someone influence voice o…,2019-01-02 06:38:05.000
45,scottadamssays **why strive end steam emissions *** mankind multiplied sevenfold earth in…,2019-01-02 06:38:05.000
46,year taking advice facts,2019-01-02 06:38:06.000
47,rt colummmna brain hears tokyo drift,2019-01-02 06:38:06.000
48,rt feohthai ｡★*ﾟﾟ*★∵★*ﾟﾟ*★｡ ☆ﾟ ﾟ☆ﾟ ﾟ☆ ★* ♡happy♡ *★ ﾟ☆｡new year ｡☆ﾟ *★｡ ♡2019♡ ｡★* ∵☆｡ ｡☆∵…,2019-01-02 06:38:06.000
49,rt uicyyy ’ grown fuck amp still ’ know apologize friend people lol,2019-01-02 06:38:06.000
50,rt dodo cat saw puppy needed mom adopted,2019-01-02 06:38:06.000
51,rt streamme 're giving mood decided awesome console game bundle december giveaway ps4 pro amp red dead…,2019-01-02 06:38:06.000
52,rt dodo cat saw puppy needed mom adopted,2019-01-02 06:38:06.000
53,rt akshaykatariyaa 1 lakh christians participated 'women wall sabarimala entry alongwith many christian organisations we…,2019-01-02 06:38:06.000
54,rt xanderethan1010 wow never fail disappoint pbbabscbn direklauren worst pbb season ever know excellent choice of…,2019-01-02 06:38:06.000
55,rt sfeanrdin_ girl laughs talks lot seem happy also girl may cry sleep,2019-01-02 06:38:06.000
56,rt saracarterdc great investigative work ... sad state affairs- money could ’ helped many children,2019-01-02 06:38:06.000
57,rt chrisshammer 'm federal worker currently hostage stupid government shutdown secure border stop welfare programs exc…,2019-01-02 06:38:06.000
58,rt notmgf28 every female,2019-01-02 06:38:05.000
59,spent first day year 1,2019-01-02 06:38:06.000
60,rt hon5h0 2019 less talk work,2019-01-02 06:38:07.000
61,rt noviaini lanyun using petkit limited edition food bowl tao spoils daughter limited edition stuffs lol,2019-01-02 06:38:07.000
62,stab heart,2019-01-02 06:38:07.000
63,rt archiveofpjms jimin ’ lips thread,2019-01-02 06:38:07.000
64,rt madhukishwar `` jawans indian army slept outside -9° keep us warm '' news wo n't covered national media conco…,2019-01-02 06:38:07.000
65,rt 23rd_goddess church today woman came ask mum wear much makeup mum return asked 3 children…,2019-01-02 06:38:07.000
66,rt virgilsanxietys // trinity_no bad person needs account taken constantly hating someone also bein…,2019-01-02 06:38:07.000
67,memories magical afterlife paranormal supernatural occult metaphysical…,2019-01-02 06:38:07.000
68,rt f_con little kukui start year,2019-01-02 06:38:08.000
69,sis stophwjwjwbwnwj real tho lyrics ’ trash progression difference lyrics…,2019-01-02 06:38:08.000
70,rt ventiskull think whenever encounter good zenyatta players anyway love much,2019-01-02 06:38:08.000
71,farishtay sky plz wish ibn adam thanks,2019-01-02 06:38:07.000
72,rt berry_berry77 신재민 노이즈마케팅 따봉주세요 ㅠㅠ,2019-01-02 06:38:09.000
73,rt levie 1. solve *one* problem one paid attention really big potential existing market insanely well 2. “ li…,2019-01-02 06:38:09.000
74,rt mookkpim กำลังใจที่ดีที่สุด happynewyear2019 portochinocountdown2019 kristsingtocountdown2019 ทีมพีรญา,2019-01-02 06:38:09.000
75,rt yuantalks case n't understand difference btw two pmi official pmi mainly tracks large-sized companies mostly soes.…,2019-01-02 06:38:09.000
76,ross_rlz told dave karger ca n't really fan cary grant gene kelly based n't se…,2019-01-02 06:38:09.000
77,rt benfinfer marvin lewis hired bengals 2003. ’ hard believe professional sports franchise would sit back an…,2019-01-02 06:38:10.000
78,rt cdyrnkn ’ 2019 means five year ban rainforest café trying wrestle crocodile finally ’ coming fo…,2019-01-02 06:38:10.000
79,rt danrather elizabeth warren announces 's running already judgements come flooding chance a…,2019-01-02 06:38:10.000
80,harithhandsome lai ahh,2019-01-02 06:38:10.000
81,rt mariahscoop watch reginevalcasid sing mariahcarey 's `` never far '' asap philippine tv show one word fantastic mariahca…,2019-01-02 06:38:10.000
82,rt joelklatt reality georgia season following 1 11 wins fantastic 2 lost 3 best teams faced 3 t…,2019-01-02 06:38:10.000
83,rt mistydownunder time last year decided put name like everyone corner never regretted decis…,2019-01-02 06:38:10.000
84,rt theashleon ’ funny,2019-01-02 06:38:10.000
85,adamsashleigh22 uh hello live former dancer ’ give lessons girlfran,2019-01-02 06:38:10.000
86,rt tiyanitee ces2019 happening next week wished attend person oh well 2020 eventually will…,2019-01-02 06:38:10.000
87,slow movie player shows films fraction normal speed,2019-01-02 06:38:10.000
88,rt thegreatkhalid turning 21 year life crazy,2019-01-02 06:38:11.000
89,rt gomezsourcemp4 rt know least one songs,2019-01-02 06:38:11.000
90,rt andrewnadeau0 nye party midnight happy new year bud host ’ cat ’ hanging night mew yea…,2019-01-02 06:38:11.000
91,rt lsthatyaenergy ’ eating pussy asks taste,2019-01-02 06:38:11.000
92,rt maiya460 ’ hard person gives easily loves hard feels much ’ also blessing one,2019-01-02 06:38:11.000
93,rt minaandmaya saw tired maned wolf dying thirst brave guys caught amp drove forest give water ‍ '' ho…,2019-01-02 06:38:11.000
94,rt notsportscenter georgia “ belonged playoff. ” texas belonged playoff,2019-01-02 06:38:11.000
95,rt armys__crew bighit worth 2.5 trillion 've surpassed big3 ’ networks double making high…,2019-01-02 06:38:11.000
96,treasonstickers housing veterans recovering physically mentally financially ... fully paid medical treatments,2019-01-02 06:38:11.000
97,rt hstylespics,2019-01-02 06:38:11.000
98,walledov,2019-01-02 06:38:11.000
99,rt only1two sevaw,2019-01-02 06:38:12.000
100,rt abdullah_0mar time huffpostindia supporting masrat alam alam supported pak amp terrorists activities 2010. 100…,2019-01-02 06:38:12.000
101,people app precious deserve whole world nothing less half deserve t…,2019-01-02 06:38:12.000
102,rt foxsports hook 'em texas dominates knock 5 georgia sugarbowl,2019-01-02 06:38:12.000
103,rt deathgrounds n n u n c n g apocalypse greenelephanttx,2019-01-02 06:38:12.000
104,rt anthemrespect california cabal nancypelosi jerrybrowngov senfeinstein gavinnewsom maxinewaters kamalaharris kdeleon ’ …,2019-01-02 06:38:12.000
105,fetus jungoo *crying dorm showing front door,2019-01-02 06:38:12.000
106,purifiedst0rm got,2019-01-02 06:38:12.000
107,new easy tax resolution service dublin ca help small medium businesses,2019-01-02 06:38:12.000
108,rt mxwonchae dispatch *following wonho* boss news dispatch ’ phone crying hours mumbling something like mon…,2019-01-02 06:38:13.000
109,mentalobstacle nobody likes fucking quitter get back work,2019-01-02 06:38:13.000
110,rt tamu_ut_rivalry |￣￣￣￣￣￣￣￣￣￣￣| texas texas amp play football every single year |…,2019-01-02 06:38:13.000
111,rt maydewight baueroutage atrociousxhibit castrovince indians ckluber therealtrizzo egoldie80 hammernation19 chrisoldach nickca…,2019-01-02 06:38:13.000
112,shofu ’ calling boy ’ lost night ’ feeling lucky ultimate give best boo,2019-01-02 06:38:13.000
113,rt vocalkingtae ’ song you… intro singularity bts v 방탄소년단뷔 뷔,2019-01-02 06:38:13.000
114,yayergangcoolee said east 6 since jordan gone false jordan retired west ret…,2019-01-02 06:38:13.000
115,liked youtube video jesse vs johnny tran rematch fast furious paul walker meet,2019-01-02 06:38:13.000
116,realdonaldtrump many illegal aliens fly planes next,2019-01-02 06:38:14.000
117,rt arjun1on happy associated sakthivelan tt area release viswasam,2019-01-02 06:38:14.000
118,tae_116_ cuz outstanding field,2019-01-02 06:38:14.000
119,rt gnothisea get fixed self thoughts drop mind nothing bundle of…,2019-01-02 06:38:14.000
120,rt juliereichwein1 juliereichwein1 follow back maga patriots nancy pelosi democratic party please retweet fo…,2019-01-02 06:38:14.000
