,text,timestamp_ms
0,rt twice_incorrect ny back hugs ty ty ny im holding universe.. ty ny ty ... well im holding dinner…,2019-01-03 19:00:00.000
1,rt b_b_fc mkraju `` single important thing want achieve president obama one-term president '' -- mcconnell 20…,2019-01-03 19:00:00.000
2,gainarianafans please,2019-01-03 19:00:00.000
3,rt betwecnsouls banishcdangel,2019-01-03 19:00:00.000
4,rt muslimiq correction reward 100k arrest killer 7 year old jazmine barnes let ’ america em…,2019-01-03 19:00:00.000
5,mobile app download speedmeter kmh speed indicator iphone,2019-01-03 19:00:00.000
6,rt repmattgaetz honor new speakerpelosi `` greatest '' gaffes 116thcongress speakerpelosi,2019-01-03 19:00:00.000
7,pj talks guilt revealing 's thing santa kid latest episode of…,2019-01-03 19:00:00.000
8,rt shegodclaire new evil gfe subscription subby boyfriend bbr bratpack,2019-01-03 19:00:00.000
9,rt highoffkixana chad comments daughter pictures dying,2019-01-03 19:00:00.000
10,lawmaker files bill ban smoking florida 's beaches,2019-01-03 19:00:00.000
11,church cold clumsy corrupt institution family faith sinners held together t…,2019-01-03 19:00:00.000
12,get taste northern ontario amazing road trip itinerary tips amp inside gt gt …,2019-01-03 19:00:00.000
13,rt nicanorent go ... advance bookings vinayavidheyarama marcus addison marcus st. charles marcus chesterfield marcus s…,2019-01-03 19:00:00.000
14,lawyers others work older adults aware potential signs abuse neglect exploitatio…,2019-01-03 19:00:00.000
15,rt whispceon isabelle secretary fighter go-karter several colleges 's pro skateboarder ca n't she…,2019-01-03 19:00:00.000
16,weekend deal save 50 kingdom come deliverance learn steamdeals…,2019-01-03 19:00:00.000
17,rt brainy_z y'all better stream even,2019-01-03 19:00:00.000
18,rt mnoelle__ ’ reached voice messaging box “ mind fucking business ”,2019-01-03 19:00:00.000
19,new laws mean drones need registered ireland drones dronesforgood technews technology…,2019-01-03 19:00:00.000
20,rt vtheesquire instead helping police officer told “ move car road. ” 1am 3 children…,2019-01-03 19:00:00.000
21,rt lrozen wow rashidatlaib brother calling cspan says republican voted trump calls sister fighter,2019-01-03 19:00:00.000
22,rt artesencial bogdanovwedding,2019-01-03 19:00:00.000
23,taylor schilling chilling prodigy new trailer amp poster theprodigy…,2019-01-03 19:00:00.000
24,icymi donut nv sets shop pottstownpa,2019-01-03 19:00:00.000
25,hardest shot team skills challenge presented budlight find …,2019-01-03 19:00:00.000
26,cowboysnation thejaylonsmith says come attstadium saturday ️wear white️ it's…,2019-01-03 19:00:00.000
27,alexandertsilva rip gon na open gym basement ’ lifting bench rack treadmill bike real welcome,2019-01-03 19:00:00.000
28,opening jan 11 mspfilm 'on basis sex chronicles rbg 's journey taking groundbreaking tax case w…,2019-01-03 19:00:00.000
29,takedapharma created celltherapy unit immuno-oncology research pharma marketers know…,2019-01-03 19:00:00.000
30,great smokey mountain national forest,2019-01-03 19:00:00.000
31,rt originalfunko today j.r.r tolkien 's birthday 's favorite tolkien funko figure,2019-01-03 19:00:00.000
32,sifter male loneliness caused lack meaningful relationships men daily lexicon 1/3,2019-01-03 19:00:01.000
33,dixie chicks ready make nice nowplaying thebull listen day everyday,2019-01-03 19:00:01.000
34,10:59am 52°f h 52/l 49 day time hum:98 wind sse 14- gt 44mph baro 29.88in rain 0.39in hamradio wawx,2019-01-03 19:00:01.000
35,rt 4thecommonmen bobloblawone savelakewoodnj michaelavenatti foxnews tuckercarlson fox watched explains many am…,2019-01-03 19:00:01.000
36,rt mrschureads `` learned willow ptarmigans illustrated feathers flying mstewartscience charlesbridge …,2019-01-03 19:00:01.000
37,rt nicalis get closer look gameplay variety upgrade system unlockables remilore coming soon nintendoswitch ps4 …,2019-01-03 19:00:01.000
38,rt natashabertrand oh boy house judiciary seeking “ attorney several years investigative litigation experience '' accordi…,2019-01-03 19:00:01.000
39,would prefer knot wolf knot — “ depends wolf talking yourbon about…,2019-01-03 19:00:01.000
40,continue focus ensuring resources nigeria work people nigeria especially…,2019-01-03 19:00:01.000
41,according healthnygov reported opioidoverdose deaths reached record high empire state al…,2019-01-03 19:00:01.000
42,house democrats mcconnell please take long hike 're taking care business,2019-01-03 19:00:01.000
43,brought frankincense thank brought murr murder judas,2019-01-03 19:00:01.000
44,check case study kowalskismarkets learn helped upscale gourmet market digitize str…,2019-01-03 19:00:01.000
45,cloud donations amp discounts available microsoft365 office365 mspowerbi azure surface amp volunteer…,2019-01-03 19:00:01.000
46,wish could find shirt,2019-01-03 19:00:01.000
47,rt gucci1017 surround good people,2019-01-03 19:00:02.000
48,stunsivan boutta leave hate accs sending,2019-01-03 19:00:02.000
49,standing defensive indicates insufficient strength attacking superabundance strength,2019-01-03 19:00:02.000
50,rt shesanangelxy ʷʰᵉʳᵉ ʷᴴᵉʳᵉ ʷʰᵉᴿᵉ ʷʰᵉʳᵉ…,2019-01-03 19:00:02.000
51,might stop crazy year ’ see,2019-01-03 19:00:02.000
52,rt imaricourtney ’ believe bitches made hate taylor swift reason,2019-01-03 19:00:02.000
53,want followers ➊ follow amp retweet ➋ follow rt amp like ➌ followback everyone turn…,2019-01-03 19:00:02.000
54,rt kimmer4444 kris_sacrebleu 508gloryfelix served good british comedy series 70 ’ also really really en…,2019-01-03 19:00:02.000
55,rt _meaganambarxo u look perfect ur worst days,2019-01-03 19:00:02.000
56,rt maryann_penza new jersey 16 year old madison wells murdered illegal immigrant new jersey let 's remember madison and…,2019-01-03 19:00:02.000
57,rt deezy_rambo got ta cutest/funniest thing done seen,2019-01-03 19:00:02.000
58,overlooked karen sparck jones established basis search engines,2019-01-03 19:00:02.000
59,rt taesorry isso destroçou,2019-01-03 19:00:02.000
60,brought frankincense thank brought murr murder judas,2019-01-03 19:00:01.000
61,senhorraposa heh probably best vote anyone could make,2019-01-03 19:00:01.000
62,get real control crisiscommunications n't miss tvinterview howto,2019-01-03 19:00:02.000
63,"rt wolfblitzer u.s. treasury department says national debt increased 2 trillion 2,000,000,000,000 since president…",2019-01-03 19:00:03.000
64,truman_black harry_styles get send way,2019-01-03 19:00:03.000
65,rt tiaz3dx bonus angles,2019-01-03 19:00:03.000
66,nowplaying florida perfect day middlebrook,2019-01-03 19:00:03.000
67,fallincurls oops sorry think,2019-01-03 19:00:03.000
68,rt libszzy wearing slim fitted sweatpants walked past group man shouted “ yo b ” laughed acc ran home crying,2019-01-03 19:00:03.000
69,rt joebailitz financialservices companies challenged find best allocation investments resources knowing t…,2019-01-03 19:00:03.000
70,rt thaluckeyjr u ignore ima assume u fine without ... dip,2019-01-03 19:00:03.000
71,transfer news allan mcgregor thinks robby mccrorie wants leave rangers watp rangersfc robbymccrorie,2019-01-03 19:00:03.000
72,time blue nose cunts pull finger,2019-01-03 19:00:03.000
73,rt kkayofsunshinee help wan na go coachella 5,2019-01-03 19:00:03.000
74,rt wayvedits 𝐹𝑜𝑟 𝑊𝑎𝑦𝑉 ♡ wayv weishenv,2019-01-03 19:00:03.000
75,rt amanda_leoa good morning bom dia,2019-01-03 19:00:03.000
76,italian computer scientists discover lost city israel,2019-01-03 19:00:04.000
77,rt secnielsen disappointed dems want hear dhsgov security amp humanitarian crisis facing the…,2019-01-03 19:00:04.000
78,rt manutd look 's made latest easportsfifa totw marcusrashford,2019-01-03 19:00:04.000
79,rt mitchellvii schumer pelosi outright defiance sworn duty elected government officials defend constitution…,2019-01-03 19:00:04.000
80,rt camcamm96 next nye someone better throw biggest great gatsby party time invite 20 ’,2019-01-03 19:00:04.000
81,speech language pathologist slp columbus ne,2019-01-03 19:00:04.000
82,rt teri_kanefield thread ’ trump 's lawbreaking spoiler understand trump family became wealthy the…,2019-01-03 19:00:04.000
83,join chaturbatable imlive mfc fingering fucking horny cumshow royalcams…,2019-01-03 19:00:04.000
84,wesley_moura19 samuelvenancio cruzeiro flamengo cbf_futebol fifacom_pt ok vamos pagar pq weslekovic mandou,2019-01-03 19:00:04.000
85,rt corybowles thread,2019-01-03 19:00:04.000
86,think 'm tall cosplay half characters would cosplay small round,2019-01-03 19:00:04.000
87,biscuitroadtrip roadtripmonkey_ spyrothelizard u actually oh myyyy,2019-01-03 19:00:04.000
88,trades sun surf continue much loving first week 2019,2019-01-03 19:00:04.000
89,rt jameca2011 90s babies 're getting old,2019-01-03 19:00:04.000
90,bormai1981 melandapollo ericpresidentvr entire_cities xfcuttx wolfy_jf gpbobcat groggames crissandcasey…,2019-01-03 19:00:04.000
91,rt realmikewilbon interview michael jordan revisited producing clip two nearly 10 years old 's from…,2019-01-03 19:00:04.000
92,uniauthority best nike uniform 2018 college football season 3 lsufootball uaawards,2019-01-03 19:00:04.000
93,rt clearbts say want bts first korean group reach 1b views yt want happen need stream harde…,2019-01-03 19:00:05.000
94,rt radiorahqueen ’ need stop “ testing ” partners setting fucked situations shit manipulative once…,2019-01-03 19:00:05.000
95,bigdata analyticsweek futureofdata podcast michoconnell tibco,2019-01-03 19:00:05.000
96,rt ot21pics miss,2019-01-03 19:00:05.000
97,rt m7mxdxx life short bad vibes,2019-01-03 19:00:05.000
98,rt gayforziam69 justin tease pt 1,2019-01-03 19:00:05.000
99,rt young_foreverv miren como hace mover las orejitas bts_twt,2019-01-03 19:00:05.000
100,’ know happening,2019-01-03 19:00:05.000
101,rt mancity go ️ city xi ederson danilo stones kompany c laporte fernandinho silva sane bernardo sterling aguero…,2019-01-03 19:00:05.000
102,thursday flow union barber birmingham,2019-01-03 19:00:05.000
103,rt byesthembiso well,2019-01-03 19:00:05.000
104,rihftperry tbfh ’ even notice grew beard someone mentioned lmaoooo,2019-01-03 19:00:05.000
105,ppl occupy spaces diasabled accessibility worst,2019-01-03 19:00:02.000
106,rt _rob_29 unbelievable anti-semite actually sworn member congress ca n't wrap mind around ht…,2019-01-03 19:00:04.000
107,favorite thing long day ___________,2019-01-03 19:00:03.000
108,rt shxksha dnp casually hug 2019 jfc ’ okay show affection without unspoken sneaky eye contact,2019-01-03 19:00:06.000
109,rt dhabitahzainal really shows people life outside texting,2019-01-03 19:00:06.000
110,dadkyoin 'm lawyer n't case damages 'll see state local law will…,2019-01-03 19:00:06.000
111,thecryptodog patience ... key ... yes god ’ weakness bad lol,2019-01-03 19:00:06.000
112,gop ’ extremely telling amoral response mitt romney ’ op-ed,2019-01-03 19:00:06.000
113,rt harrymoonchild excuse sir gave u right,2019-01-03 19:00:06.000
114,caseyru26061106 christinem1059 setusthreefree narcissist_hope ladybret kelviejay ladyladyj divorcesayss…,2019-01-03 19:00:06.000
115,’ improving much,2019-01-03 19:00:06.000
116,ambrosia_ijebu doubleeph look like asuungr opposition agenda wants lies sincere person.. vex,2019-01-03 19:00:06.000
117,wqveconcours creedean_team anonymefn ganniconcours gl4c3ur24,2019-01-03 19:00:06.000
118,rt sockcouncil nice imagery might inspire socks pieke0475,2019-01-03 19:00:06.000
119,dangerous job brand new works vehicles well serviced amp reliable ... would really hear “ n…,2019-01-03 19:00:06.000
120,rt isabelaseraffim honestly ’ know ’ gon na bounce back fucked sleep schedule time bitch,2019-01-03 19:00:06.000
121,got damn bitch lit holy hell,2019-01-03 19:00:06.000
122,fallout day 37 fallout76 journal flatwoods lookout nifty things inkwash s…,2019-01-03 19:00:06.000
123,women ’ girl ’ gis girls gis custom black sekai gi fuji sports featuring fabric fit styl…,2019-01-03 19:00:04.000
124,’ trying good grapes got office vending machine clearly begun ferme…,2019-01-03 19:00:06.000
125,rt fargo_zondo ..i ’ fucking crying years ’ barking nothing,2019-01-03 19:00:07.000
